Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$3.68,0.135,3.808%,10172013.00,United States,,1277,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.137,-0.0001,-0.073%,18799333.00,Canada,2015,232236,,
ACU,Acme United Corporation. Common Stock,$39.475,1.105,2.88%,141520638.00,United States,1988,13173,Consumer Discretionary,Industrial Machinery/Components
ADRT,Ault Disruptive Technologies Corporation Common Stock,$13.29,0.40,3.103%,191043750.00,,2022,5342,Finance,Blank Checks
AE,Adams Resources & Energy Inc. Common Stock,$26.20,-0.55,-2.056%,66716754.00,United States,1980,6078,Energy,Oil Refining/Marketing
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.1425,0.0225,0.439%,552111656.00,United States,,26312,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$12.58,-0.56,-4.262%,467467768.00,United States,,65063,Health Care,Biotechnology: Pharmaceutical Preparations
AGE,AgeX Therapeutics Inc. Common Stock,$0.361,-0.029,-7.436%,13700405.00,,2018,41170,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.388,-0.0015,-0.385%,18950830.00,United States,1997,40850,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$2.50,-0.16,-6.015%,8034938.00,United States,2014,7564,Consumer Discretionary,Professional Services
AIRI,Air Industries Group Common Stock,$4.115,-0.035,-0.843%,13592030.00,United States,,7452,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$5.87,0.00,0.00%,325373220.00,,,34,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$1.83,0.0945,5.445%,5227168.00,China,,28568,Real Estate,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$1.60,0.04,2.564%,1331234.00,United States,2022,16921,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.6928,-0.0072,-0.267%,16964640.00,United States,1988,1715,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$5.90,0.29,5.169%,68717866.00,Canada,2000,36722,,
AREN,The Arena Group Holdings Inc. Common Stock,$1.7569,-0.0231,-1.298%,41875520.00,United States,2022,17798,Health Care,Medical/Dental Instruments
ARMN,Aris Mining Corporation Common Shares,$3.179,0.0791,2.552%,438170916.00,,2023,391763,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$3.65,-0.06,-1.617%,131934995.00,United States,,6080,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.5098,0.0078,1.554%,64135974.00,Canada,,488184,,
ASXC,Asensus Surgical Inc. Common Stock,$0.297,-0.0013,-0.436%,78502074.00,United States,,853547,Health Care,Medical/Dental Instruments
ATCH,AtlasClear Holdings Inc. Common Stock,$1.675,-0.135,-7.459%,17568445.00,,2024,31857,,
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,$11.23,0.03,0.268%,0.00,,2022,717,Finance,Blank Checks
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$7.61,-0.15,-1.933%,208616286.00,United States,,128926,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.3939,-0.0061,-1.525%,1111743.00,United States,1997,2098665,Technology,Industrial Machinery/Components
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$22.0171,0.00,0.00%,,United States,,147,,
AUMN,Golden Minerals Company Common Stock,$0.3837,0.0037,0.974%,5404292.00,United States,,89166,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$1.20,0.105,9.589%,15924000.00,,2022,133604,,
AWX,Avalon Holdings Corporation Common Stock,$2.2616,-0.1584,-6.545%,8818953.00,United States,1998,487,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$11.711,-0.039,-0.332%,68554402.00,,2024,1924,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.2325,0.0074,3.287%,2812702.00,,2023,531258,Health Care,Biotechnology: Pharmaceutical Preparations
BACA,Berenson Acquisition Corp. I Class A Common Stock,$10.27,0.00,0.00%,0.00,,2021,1,Finance,Blank Checks
BATL,Battalion Oil Corporation Common Stock,$5.95,0.00,0.00%,97916550.00,United States,,13963,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$15.68,0.12,0.771%,0.00,United States,1972,8989,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$23.9799,-0.0001,0.00%,,United States,,1065,,
BDL,Flanigan's Enterprises Inc. Common Stock,$24.97,-0.03,-0.12%,46410416.00,United States,1972,3939,Consumer Discretionary,Restaurants
BEEP,Mobile Infrastructure Corporation Common Stock,$3.70,0.01,0.271%,0.00,,2023,22509,Finance,Blank Checks
BGI,Birks Group Inc. Common Stock,$3.6162,-0.0638,-1.734%,39669714.00,Canada,,22122,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$25.00,-0.22,-0.872%,378899275.00,United States,1997,14490,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$14.51,0.01,0.069%,56295231.00,,2022,2440,Real Estate,Real Estate Investment Trusts
BITE,Bite Acquisition Corp. Common Stock,$10.70,0.00,0.00%,0.00,,2021,1,Finance,Blank Checks
BKTI,BK Technologies Corporation Common Stock,$11.99,-0.01,-0.083%,41431433.00,United States,,514,Technology,Radio And Television Broadcasting And Communications Equipment
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,$10.75,0.00,0.00%,0.00,,2021,38,Finance,Blank Checks
BMTX,BM Technologies Inc. Common Stock,$1.795,0.035,1.989%,21306515.00,,2018,2961,Technology,EDP Services
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,$0.255,0.0068,2.74%,1659580.00,,2020,51851,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$2.50,-0.01,-0.398%,47995948.00,United States,,220402,Finance,Commercial Banks
BRN,Barnwell Industries Inc. Common Stock,$2.30,0.05,2.222%,23064607.00,United States,1965,20501,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$2.665,-0.015,-0.56%,3472358997.00,Canada,,6171055,Basic Materials,Precious Metals
BTTR,Better Choice Company Inc. Common Stock,$0.1536,0.0076,5.205%,4927664.00,,2021,146362,Consumer Staples,Beverages (Production/Distribution)
BURU,Nuburu Inc. Common Stock,$0.145,0.0006,0.416%,5349677.00,United States,2020,301832,Technology,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.175,0.045,2.113%,8859619.00,Israel,,37020,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$1.04,0.02,1.961%,291793867.00,United States,,1359835,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$6.10,0.59,10.708%,50549389.00,United States,2022,20560,Health Care,Managed Health Care
CEI,Camber Energy Inc. Common Stock,$0.2276,0.0016,0.708%,24474113.00,United States,,4295290,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$39.7113,0.3313,0.841%,9611135325.00,United States,1951,16745,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.47,-0.01,-0.095%,73641530.00,United States,1999,22271,Finance,Investment Bankers/Brokers/Service
CHAA,Catcha Investment Corp. Class A Ordinary Shares,$11.26,0.00,0.00%,0.00,,2021,27,Finance,Blank Checks
CHRO,Chromocell Therapeutics Corporation Common Stock,$3.50,0.12,3.55%,20186338.00,,2024,5763,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.99,0.01,0.336%,0.00,United States,,38520,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$30.40,0.00,0.00%,374338213.00,United States,1998,3866,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$13.30,-0.16,-1.189%,26259879.00,United States,2003,443,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$0.7056,0.0272,4.009%,25043440.00,,2021,102294,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$7.38,0.05,0.682%,0.00,United States,2003,925522,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$10.54,0.19,1.836%,202262600.00,Canada,,12958,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$19.00,-0.32,-1.656%,171773376.00,United States,1996,23680,Industrials,Plastic Products
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$6.50,-0.1086,-1.643%,36596755.00,China,2016,1301,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$7.78,1.396,21.867%,14170080.00,United States,,34924,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.3482,-0.0088,-2.465%,589022.00,China,,462403,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.35,0.06,0.823%,0.00,United States,2003,471675,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$19.898,0.028,0.141%,187043747.00,United States,2021,13149,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.351,-0.009,-2.50%,16722492.00,,2022,349138,Technology,EDP Services
CVM,Cel-Sci Corporation Common Stock,$2.255,-0.155,-6.432%,112985041.00,United States,1997,384754,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$15.2636,-0.2363,-1.525%,14746652.00,United States,1930,2948,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$2.548,-0.072,-2.748%,32289290.00,United States,2022,20806,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.3441,0.0247,7.733%,88286951.00,Canada,,8780347,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$2.135,0.005,0.235%,185190481.00,United States,2022,72425,Basic Materials,Precious Metals
DDC,DDC Enterprise Limited Class A Ordinary Shares,$1.32,-0.07,-5.036%,26298450.00,,2023,46288,Basic Materials,Metal Mining
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.00,-0.01,-0.498%,0.00,United States,1998,271724,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$198.98,3.98,2.041%,125429431.00,United States,1999,46,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$3.51,-0.04,-1.127%,24749537.00,United States,2000,10229,Consumer Staples,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.745,0.035,0.522%,420151810.00,United States,1988,77924,Finance,Finance/Investors Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$10.64,0.00,0.00%,0.00,,2022,19,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.9384,0.1184,6.505%,1727107366.00,Canada,,13084459,Basic Materials,Other Metals and Minerals
DPSI,DecisionPoint Systems Inc. Common Stock,$8.30,-0.38,-4.378%,63534882.00,,2022,1885,Technology,Retail: Computer Software & Peripheral Equipment
DSS,DSS Inc. Common Stock,$1.88,-0.03,-1.571%,13184840.00,United States,,1968,Consumer Discretionary,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.3319,-0.0046,-1.367%,720816.00,China,,49344,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.63,0.01,0.151%,0.00,United States,2003,95959,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$8.12,0.028,0.346%,0.00,United States,1986,14893,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$22.80,0.07,0.308%,,United States,,1522,,
EFSH,1847 Holdings LLC Common Shares,$2.76,0.14,5.344%,2185332.00,,2022,72400,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.415,0.045,0.434%,0.00,United States,2002,57234,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$4.32,-0.04,-0.917%,115344000.00,United States,,32274,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$17.00,-0.51,-2.913%,218450000.00,Israel,,7818,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$16.3399,0.3399,2.124%,140608549.00,United States,2011,67175,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$1.715,-0.015,-0.867%,192429929.00,Canada,,118537,Basic Materials,Metal Mining
ENSV,Enservco Corporation Common Stock,$0.1968,-0.0002,-0.102%,5232072.00,United States,,139540,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.88,0.02,0.203%,0.00,United States,2002,2949,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,$5.80,-0.04,-0.685%,132775224.00,United States,2022,8566,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.845,0.075,1.30%,195552249.00,United States,,130451,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$4.595,-0.015,-0.325%,1486963578.00,Canada,,1477234,,
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.365,0.015,0.16%,0.00,United States,2003,42923,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$9.2701,0.0501,0.543%,0.00,,2004,7192,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$25.15,-0.3233,-1.269%,68179965.00,United States,1960,7786,Technology,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$29.50,0.00,0.00%,162503494.00,United States,,1348,Finance,Major Banks
EVE,EVe Mobility Acquisition Corp Class A Ordinary Shares,$10.90,0.01,0.092%,0.00,,2022,17598,Finance,Blank Checks
EVI,EVI Industries Inc.  Common Stock,$21.09,-0.21,-0.986%,267300207.00,United States,1999,19521,Consumer Discretionary,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.31,0.03,0.323%,0.00,United States,2002,44029,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$9.97,0.05,0.504%,0.00,United States,2003,252763,Finance,Finance/Investors Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.68,0.00,0.00%,0.00,United States,1986,531578,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$5.61,0.03,0.538%,0.00,United States,1992,36020,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$15.53,0.07,0.453%,0.00,United States,2004,20461,Finance,Finance/Investors Services
FLYX,flyExclusive Inc. Class A Common Stock,$18.26,-0.34,-1.828%,314528062.00,,2023,37194,Finance,Blank Checks
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.31,-0.0028,-0.895%,2773270.00,,2022,207376,Technology,Retail: Computer Software & Peripheral Equipment
FRD,Friedman Industries Inc. Common Stock,$18.04,-0.32,-1.743%,125852650.00,United States,1975,9191,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$2.00,0.00,0.00%,24871064.00,Canada,2002,12161,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$2.295,-0.035,-1.502%,237372660.00,United States,,343417,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.2725,0.0025,0.04%,253442708.00,United States,2003,61254,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.4354,-0.0222,-4.851%,63371360.00,,2020,221197,,
GAU,Galiano Gold Inc.,$1.10,-0.03,-2.655%,247451731.00,Canada,,576350,,
GBR,New Concept Energy Inc Common Stock,$1.025,0.0149,1.475%,5260232.00,United States,1993,3226,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$16.3101,-0.2799,-1.687%,239068585.00,United States,,3809,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.78,0.02,0.532%,0.00,United States,2005,411712,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$22.2712,0.0512,0.23%,,United States,,1550,,
GLDG,GoldMining Inc. Common Shares,$0.8327,0.0307,3.828%,153083966.00,,,255327,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$5.06,0.05,0.998%,0.00,United States,2006,177105,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$6.4697,0.0647,1.01%,0.00,United States,2005,56031,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$13.531,0.0481,0.357%,80765335.00,United States,2004,13356,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$43.27,0.00,0.00%,,United States,,5,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.5607,0.0107,0.193%,70674178.00,United States,2004,65262,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.3118,0.0188,6.416%,15870638.00,Singapore,2022,2983247,Real Estate,Other Consumer Services
GORO,Gold Resource Corporation Common Stock,$0.2903,0.0103,3.679%,25747879.00,United States,,812511,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.20,-0.1002,-1.077%,0.00,United States,,437,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$0.3842,-0.0358,-8.524%,298695099.00,,2022,41308,,
GROY,Gold Royalty Corp. Common Shares,$1.835,-0.015,-0.811%,266020473.00,Canada,2021,678549,Basic Materials,Precious Metals
GSAT,Globalstar Inc. Common Stock,$1.305,0.035,2.756%,2479500000.00,United States,2006,3115061,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$5.74,0.15,2.683%,185094916.00,Canada,,336099,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Class A Common Stock,$1.88,-0.05,-2.591%,0.00,,2022,1310,Energy,Oil & Gas Production
HNW,Pioneer Diversified High Income Fund Inc.,$11.50,0.0425,0.371%,0.00,United States,2007,18095,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.2999,-0.0001,-0.008%,14177168.00,United States,,35346,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$60.00,0.00,0.00%,,United States,,48,,
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.215,0.065,1.566%,0.00,United States,1985,96414,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$1.52,0.06,4.11%,453720508.00,Canada,2022,1689728,,
IBIO,iBio Inc. Common Stock,$1.1693,-0.0307,-2.558%,4074152.00,United States,,59248,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$8.08,-0.13,-1.583%,99032706.00,,2022,12355,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$9.15,0.49,5.658%,1100803688.00,Canada,2022,537443,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.3234,-0.005,-1.523%,20611718.00,United States,,238877,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.60,-0.0002,-0.012%,14409290.00,United States,1999,1492,Finance,Investment Bankers/Brokers/Service
